ID,Section,Label,Country,Year,Value,Flag,Breakdown,,
ECEC1,ECEC,Shares of children in formal ECEC ,Croatia,2022,76.3,,Children aged 3 up to compulsory school age,,
ECEC1,ECEC,Shares of children in formal ECEC ,Italy,2022,94.2,,Children aged 3 up to compulsory school age,,
ECEC1,ECEC,Shares of children in formal ECEC ,Cyprus,2022,82.6,,Children aged 3 up to compulsory school age,,
ECEC1,ECEC,Shares of children in formal ECEC ,Latvia,2022,91.6,,Children aged 3 up to compulsory school age,,
ECEC1,ECEC,Shares of children in formal ECEC ,Lithuania,2022,92.5,,Children aged 3 up to compulsory school age,,
ECEC1,ECEC,Shares of children in formal ECEC ,Luxembourg,2022,95.1,,Children aged 3 up to compulsory school age,,
ECEC1,ECEC,Shares of children in formal ECEC ,Hungary,2022,100,,Children aged 3 up to compulsory school age,,
ECEC1,ECEC,Shares of children in formal ECEC ,Malta,2022,94.1,,Children aged 3 up to compulsory school age,,
ECEC1,ECEC,Shares of children in formal ECEC ,Netherlands,2022,97.2,,Children aged 3 up to compulsory school age,,
ECEC1,ECEC,Shares of children in formal ECEC ,Austria,2022,91.9,,Children aged 3 up to compulsory school age,,
ECEC1,ECEC,Shares of children in formal ECEC ,Poland,2022,76.5,,Children aged 3 up to compulsory school age,,
ECEC1,ECEC,Shares of children in formal ECEC ,Portugal,2022,91.5,,Children aged 3 up to compulsory school age,,
ECEC1,ECEC,Shares of children in formal ECEC ,Romania,2022,67.8,,Children aged 3 up to compulsory school age,,
ECEC1,ECEC,Shares of children in formal ECEC ,Slovenia,2022,96.3,,Children aged 3 up to compulsory school age,,
ECEC1,ECEC,Shares of children in formal ECEC ,Slovakia,2022,85,,Children aged 3 up to compulsory school age,,
ECEC1,ECEC,Shares of children in formal ECEC ,Finland,2022,92.7,,Children aged 3 up to compulsory school age,,
ECEC1,ECEC,Shares of children in formal ECEC ,Sweden,2022,97.7,,Children aged 3 up to compulsory school age,,
ECEC1,ECEC,Shares of children in formal ECEC ,EU27,2015,30,,Children aged under 3,,
ECEC1,ECEC,Shares of children in formal ECEC ,Belgium,2015,50.1,,Children aged under 3,,
ECEC1,ECEC,Shares of children in formal ECEC ,Bulgaria,2015,8.9,,Children aged under 3,,
ECEC1,ECEC,Shares of children in formal ECEC ,Czechia,2015,2.9,,Children aged under 3,,
ECEC1,ECEC,Shares of children in formal ECEC ,Denmark,2015,77.3,,Children aged under 3,,
ECEC1,ECEC,Shares of children in formal ECEC ,Germany,2015,25.9,,Children aged under 3,,
ECEC1,ECEC,Shares of children in formal ECEC ,Estonia,2015,21.4,,Children aged under 3,,
ECEC1,ECEC,Shares of children in formal ECEC ,Ireland,2015,24.3,,Children aged under 3,,
ECEC1,ECEC,Shares of children in formal ECEC ,Greece,2015,11.4,,Children aged under 3,,
ECEC1,ECEC,Shares of children in formal ECEC ,Spain,2015,39.7,,Children aged under 3,,
ECEC1,ECEC,Shares of children in formal ECEC ,France,2015,41.7,,Children aged under 3,,
ECEC1,ECEC,Shares of children in formal ECEC ,Croatia,2015,11.8,,Children aged under 3,,
ECEC1,ECEC,Shares of children in formal ECEC ,Italy,2015,27.3,,Children aged under 3,,
ECEC1,ECEC,Shares of children in formal ECEC ,Cyprus,2015,19,,Children aged under 3,,
ECEC1,ECEC,Shares of children in formal ECEC ,Latvia,2015,20.1,,Children aged under 3,,
ECEC1,ECEC,Shares of children in formal ECEC ,Lithuania,2015,9.7,,Children aged under 3,,
ECEC1,ECEC,Shares of children in formal ECEC ,Luxembourg,2015,51.8,,Children aged under 3,,
ECEC1,ECEC,Shares of children in formal ECEC ,Hungary,2015,15.4,,Children aged under 3,,
ECEC1,ECEC,Shares of children in formal ECEC ,Malta,2015,19.1,,Children aged under 3,,
ECEC1,ECEC,Shares of children in formal ECEC ,Netherlands,2015,46.4,,Children aged under 3,,
ECEC1,ECEC,Shares of children in formal ECEC ,Austria,2015,22.3,,Children aged under 3,,
ECEC1,ECEC,Shares of children in formal ECEC ,Poland,2015,5.3,,Children aged under 3,,
ECEC1,ECEC,Shares of children in formal ECEC ,Portugal,2015,43.1,,Children aged under 3,,
ECEC1,ECEC,Shares of children in formal ECEC ,Romania,2015,9.4,,Children aged under 3,,
ECEC1,ECEC,Shares of children in formal ECEC ,Slovenia,2015,37.4,,Children aged under 3,,
ECEC1,ECEC,Shares of children in formal ECEC ,Slovakia,2015,1.1,,Children aged under 3,,
ECEC1,ECEC,Shares of children in formal ECEC ,Finland,2015,30.4,,Children aged under 3,,
ECEC1,ECEC,Shares of children in formal ECEC ,Sweden,2015,55,,Children aged under 3,,
